name	dtype	offset	shape
FileMagicNum	>u4	0	0
FileVersion	>u2	4	0
FileType	>u2	6	0
SWdate	>S10	8	0
TimeStep	>f8	24	0
ChanNum	>u1	32	0
EightBit	>u1	33	0
Scaling	>f8	36	ChanNum,4
XResolution	>u4	100	0
YResolution	>u4	104	0
Oversampling	>u1	108	0
AIDelay	>i2	109	0
ZeissScanSpeed	>u1	111	0
ScanRate	>f8	112	0
FramelineRampdownRatio	>f8	120	0
Xmin	>f8	128	0
Xmax	>f8	136	0
AI1	>u1	151	0
AI2	>u1	152	0
AI3	>u1	153	0
AI4	>u1	154	0
Notes	>S200	180	0
DetA	>S10	380	0
DetB	>S18	390	0
DetC	>S20	700	0
DetD	>S20	720	0
Mag	>f8	408	0
PixelSize	>f8	416	0
WD	>f8	424	0
EHT	>f8	432	0
SEMApr	>u1	440	0
HighCurrent	>u1	441	0
SEMCurr	>f8	448	0
SEMRot	>f8	456	0
ChamVac	>f8	464	0
GunVac	>f8	472	0
SEMStiX	>f8	480	0
SEMStiY	>f8	488	0
SEMAlnX	>f8	496	0
SEMAlnY	>f8	504	0
StageX	>f8	512	0
StageY	>f8	520	0
StageZ	>f8	528	0
StageT	>f8	536	0
StageR	>f8	544	0
StageM	>f8	552	0
BrightnessA	>f8	560	0
ContrastA	>f8	568	0
BrightnessB	>f8	576	0
ContrastB	>f8	584	0
Mode	>u1	600	0
FIBFocus	>f8	608	0
FIBProb	>u1	616	0
FIBCurr	>f8	624	0
FIBRot	>f8	632	0
FIBAlnX	>f8	640	0
FIBAlnY	>f8	648	0
FIBStiX	>f8	656	0
FIBStiY	>f8	664	0
FIBShiftX	>f8	672	0
FIBShiftY	>f8	680	0
FileLength	>i8	1000	0
