offset	dtype	shape	name
0	>u4	0	FileMagicNum
4	>u2	0	FileVersion
6	>u2	0	FileType
8	>S10	0	SWdate
24	>f8	0	TimeStep
32	>u1	0	ChanNum
33	>u1	0	EightBit
36	>f4	ChanNum,4	Scaling
100	>u4	0	XResolution
104	>u4	0	YResolution
108	>u1	0	Oversampling
109	>i2	0	AIDelay
111	>u1	0	ZeissScanSpeed
112	>f8	0	ScanRate
120	>f8	0	FramelineRampdownRatio
128	>f8	0	Xmin
136	>f8	0	Xmax
151	>u1	0	AI1
152	>u1	0	AI2
153	>u1	0	AI3
154	>u1	0	AI4
180	>S200	0	Notes
380	>S10	0	DetA
390	>S18	0	DetB
700	>S20	0	DetC
720	>S20	0	DetD
408	>f8	0	Mag
416	>f8	0	PixelSize
424	>f8	0	WD
432	>f8	0	EHT
440	>u1	0	SEMApr
441	>u1	0	HighCurrent
448	>f8	0	SEMCurr
456	>f8	0	SEMRot
464	>f8	0	ChamVac
472	>f8	0	GunVac
480	>f8	0	SEMStiX
488	>f8	0	SEMStiY
496	>f8	0	SEMAlnX
504	>f8	0	SEMAlnY
512	>f8	0	StageX
520	>f8	0	StageY
528	>f8	0	StageZ
536	>f8	0	StageT
544	>f8	0	StageR
552	>f8	0	StageM
560	>f8	0	BrightnessA
568	>f8	0	ContrastA
576	>f8	0	BrightnessB
584	>f8	0	ContrastB
600	>u1	0	Mode
608	>f8	0	FIBFocus
616	>u1	0	FIBProb
624	>f8	0	FIBCurr
632	>f8	0	FIBRot
640	>f8	0	FIBAlnX
648	>f8	0	FIBAlnY
656	>f8	0	FIBStiX
664	>f8	0	FIBStiY
672	>f8	0	FIBShiftX
680	>f8	0	FIBShiftY
1000	>i8	0	FileLength
